date_qtr,expectations,import_price,unemp_gap,momentum,dummies,aena_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
2010 Q3,0.7710859067351279,-0.018740947997810314,-0.12027247979754699,0.0011739225105955873,0,0.01604486483617272,0.6492912662865389,0.6,-0.049291266286538904,-0.24929126628653886,0.15070873371346116,0.15070873371346116,-0.24929126628653886
2010 Q4,0.78034430679963,-0.2227149526013228,-0.10925709830060892,0.005142239847779172,0,0.006642207975094296,0.4601567037205717,0.4,-0.06015670372057169,0.33984329627942833,0.33984329627942833,-0.06015670372057169,0.13984329627942826
2011 Q1,0.7970369611910184,-0.07130585337979252,-0.09593541011568056,0.001100965331398832,0,-0.021291338376173745,0.6096053246507704,0.8,0.1903946753492296,0.1903946753492296,-0.20960532465077042,-0.009605324650770464,-0.20960532465077042
2011 Q2,0.7848530443775101,0.03852303538731302,-0.08826582449042711,0.0039053081991282114,0,0.002313283971975149,0.7413288474454995,0.8,0.058671152554500505,-0.3413288474454995,-0.14132884744549956,-0.3413288474454995,-0.24132884744549954
2011 Q3,0.7824667405194973,0.05717382049791452,-0.10752041750297903,1.3095508474532497e-4,0,0.0012637194872022871,0.7335148180863804,0.4,-0.3335148180863804,-0.13351481808638044,-0.3335148180863804,-0.23351481808638042,-0.03351481808638046
2011 Q4,0.7950407262328729,0.026274817108918037,-0.11032626421959618,-0.007027083307980011,0,0.0239777446321637,0.7279399404463786,0.6,-0.12793994044637857,-0.32793994044637853,-0.22793994044637855,-0.027939940446378597,-0.22793994044637855
2012 Q1,0.7668066214512873,-0.024144113343460068,-0.11829458670323857,-3.141489900349376e-4,0,-0.027909754070319454,0.59614401834423425,0.4,-0.19614401834423423,-0.09614401834423425,0.1038559816557657,-0.09614401834423425,-0.09614401834423425
2012 Q2,0.7657396682840028,-0.06920399457339024,-0.12208265681901004,0.001966627670471992,0,0.005176369981748719,0.5815960145438231,0.5,-0.08159601454382315,0.11840398545617681,-0.08159601454382315,-0.08159601454382315,0.01840398545617683
2012 Q3,0.7710400162763199,0.0070233353381434225,-0.1264434255405753,6.644550393995982e-4,0,0.018930210855204948,0.6712145919684926,0.7,0.02878540803150731,-0.17121459196849265,-0.17121459196849265,-0.07121459196849267,0.02878540803150731
2012 Q4,0.7518922223387066,0.015459030693483537,-0.1321517983040634,-0.004609533208924253,0,-0.011011090973219251,0.6195788305459832,0.5,-0.11957883054598317,-0.11957883054598317,-0.019578830545983195,0.08042116945401678,0.18042116945401687
