variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST
NAIRU[47],4.7532932779953265,4.766155090839902,4.352980512759921,5.2700987288213375,4.441735690292322,5.032212150573491,2009 Q2,5.729036,12.903025974373161,0.6
NAIRU[48],4.722733021971628,4.736307672813558,4.257877465251706,5.249735039881602,4.399101226942708,4.992554037713422,2009 Q3,5.683215466666667,6.166011635755986,2.1
NAIRU[49],4.683679106413222,4.6829983024611845,4.208338127842601,5.219448059793988,4.37049615036938,4.946632145377935,2009 Q4,5.5578409,-12.760168444084918,0.5
NAIRU[50],4.651254237957917,4.653271619944075,4.1853251867244845,5.180465501618813,4.34186077082694,4.947770729960881,2010 Q1,5.3289932,-14.112877009846336,0.5
NAIRU[51],4.615465265200985,4.616341798597617,4.150608083429211,5.1358620325385065,4.336219125289484,4.922777477336831,2010 Q2,5.290939833333333,-7.654007712233479,2.1
NAIRU[52],4.58878656068634,4.600642476633077,4.1091565211141505,5.115998254484564,4.27332653781597,4.860173767546725,2010 Q3,5.124916533333333,-3.0829158019901826,2.1
NAIRU[53],4.558671860928214,4.553093003276905,4.092071514279172,5.069117081670145,4.213587456534493,4.82645911448402,2010 Q4,5.090326233333333,-2.3438572972017013,1.4
NAIRU[54],4.540103025458928,4.53980564057798,4.082176659936286,5.094265889507114,4.228149689622331,4.817974554542252,2011 Q1,4.9672569,-4.185525773661247,-0.1
NAIRU[55],4.526654161501092,4.522053290422863,4.066213296572381,5.053416636070225,4.222795165425712,4.840423116733132,2011 Q2,4.9632171666666665,-5.84962066816086,2.4
NAIRU[56],4.515549723541057,4.497020769566948,4.054065557342997,5.072352055332641,4.212477514247567,4.8209410489214415,2011 Q3,5.194893633333333,-5.760499194271507,1.4
NAIRU[57],4.518713940996926,4.506708522387363,4.025950825630387,5.058548313194841,4.209016947701562,4.800104219576863,2011 Q4,5.2052778,0,0.2
NAIRU[58],4.529292459082242,4.520426689146484,4.0482705479744805,5.032874355471318,4.219280895737976,4.835686482789547,2012 Q1,5.1409404,-2.2111453607431386,1.2
