variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLAENA_EST,DLWPI_EST
NAIRU[47],4.52094015175545,4.811569171564359,2.679230778873749,5.151117652885862,3.8116494080635883,5.062605195504177,2009 Q2,5.729036,12.903025974373161,-0.8785116776917512,0.5,0.7920833491444235
NAIRU[48],4.5816979819664905,4.82290656632843,3.024270369503811,5.1865968678962595,4.025140680597543,5.064005742778099,2009 Q3,5.683215466666667,6.166011635755986,0.9872848862003014,2.2,0.39370129593390146
NAIRU[49],4.604216325088861,4.821147244733366,3.054921760748102,5.207093410039229,4.028624298719434,5.0802476806108725,2009 Q4,5.5578409,-12.760168444084918,0.824607861511284,0.5,0.782782862024689
NAIRU[50],4.666868418164604,4.8513691495883045,3.2477960498880285,5.228169716251853,4.119913979418294,5.130824634766713,2010 Q1,5.3289932,-14.112877009846336,1.3461693814744935,0.5,0.9699397088713368
NAIRU[51],4.665184674621854,4.839011870071598,3.2544148921427882,5.224059459093661,4.045089259461122,5.136791186490727,2010 Q2,5.290939833333333,-7.654007712233479,2.0535648396790673,2.1,0.7692345623156349
NAIRU[52],4.648402295460756,4.835553184733712,3.132747583367206,5.232391987161054,4.21535461161518,5.099041793629174,2010 Q3,5.124916533333333,-3.0829158019901826,1.5066098398969219,2.2,1.048127746758265
NAIRU[53],4.627607758533564,4.785854669933089,3.1508124016998593,5.188378596328219,4.309204769132414,5.046983484231297,2010 Q4,5.090326233333333,-2.3438572972017013,1.3170247147473058,1.4,1.037255881562249
NAIRU[54],4.643458304733814,4.785277069636735,3.4738740471449554,5.148180588441401,4.3037003917463865,5.036209805447026,2011 Q1,4.9672569,-4.185525773661247,2.2021026602847327,-0.1,0.9337135995940216
NAIRU[55],4.662829751516443,4.761306268036812,3.7019835563177237,5.203282642352359,4.324796458902631,5.03422621987686,2011 Q2,4.9632171666666665,-5.84962066816086,0.51669155834837,2.4,0.740744127786197
NAIRU[56],4.646114854940156,4.718164195599389,3.6884607353264762,5.117581140654882,4.357742785360115,4.99209789021083,2011 Q3,5.194893633333333,-5.760499194271507,0.3341312115294759,1.4,0.8268306176947071
NAIRU[57],4.628915868462498,4.715736957442936,3.6539956346978397,5.111740107201126,4.278424252680288,4.951689508550012,2011 Q4,5.2052778,0,-0.09984349031431083,0.2,1.001373866050237
NAIRU[58],4.617522424776242,4.684774679605921,3.7361831209100393,5.204396913932931,4.246714862963981,4.971250102430902,2012 Q1,5.1409404,-2.2111453607431386,1.204666304513613,1.2,0.9914457057178083
NAIRU[59],4.63221895814166,4.677491353768643,3.889032321256351,5.173355774499731,4.260763169368254,4.952948639383929,2012 Q2,5.1192635,1.197619104671599,0.02762798969178082,1,0.892863074430128
NAIRU[60],4.652520128828797,4.6744932781034345,3.9318944735706824,5.312495980045353,4.309106079517264,4.946788470956923,2012 Q3,5.2759066,0,-0.7813681038325138,-0.3,0.7085946389485898
NAIRU[61],4.69940598336228,4.693512749647814,4.069154081041336,5.37994731084254,4.345794009213142,4.991049686288513,2012 Q4,5.366588366666667,-1.996074256253788,0.8921989802700869,0.8,0.7912129187949368
NAIRU[62],4.729789988001585,4.670787244902189,4.137807930024814,5.539193135510303,4.390654238550139,5.045395722999103,2013 Q1,5.474768766666667,0.708863727773501,-0.06299672614697993,0,0.6980831141340182
NAIRU[63],4.754838294661187,4.710006767711256,4.18309626533279,5.816752882685553,4.380379262049605,5.0010688476771294,2013 Q2,5.6312682999999994,-0.5970166986504211,0.57094725735507,0.7,0.6932436775644923
NAIRU[64],4.794764707912508,4.715442599974052,4.164536203206875,5.972268811506585,4.384100251146847,5.141083955556629,2013 Q3,5.7286164,5.475463371835865,-0.12501707232566162,0.7,0.5167970158442614
NAIRU[65],4.806213149407894,4.710030322345283,4.110637714789189,6.153558229455561,4.376847282590494,5.120783057955802,2013 Q4,5.840081433333333,4.629088381435409,0.5724652268577657,1.9,0.6849341845574841
NAIRU[66],4.8287003999374285,4.6991040365785315,4.087281341850012,6.254402133680802,4.330161957038032,5.31916882889485,2014 Q1,5.8995707,7.669939312596341,-0.0951952738460271,0.1,0.7649846060403753
NAIRU[67],4.84353761271959,4.659278424878551,4.0044258980754615,6.4541012807913365,4.263302290738504,5.637917955008614,2014 Q2,5.927679333333333,4.964523048916547,0.3792000145289576,0.6,0.5067578412305984
NAIRU[68],4.846813213370875,4.589858134054846,3.9330237803684636,6.658339725885443,4.223807841703972,5.776675428722983,2014 Q3,6.169539133333333,-0.19047624806542984,0.3449481918176289,0.8,0.5879899342879469
NAIRU[69],4.841648390953473,4.537074949784554,3.9173123068228652,6.66778385998922,4.20633191148974,5.951142391950064,2014 Q4,6.253391966666666,3.8702329019038473,0.09435676816980099,0.8,0.5845528127435884
NAIRU[70],4.825380454567649,4.494063661464793,3.8655348514161085,6.793154913694441,4.138918156621564,6.0831263385614465,2015 Q1,6.202812866666666,4.923510299768541,-0.6054727796827697,-1.2,0.581155641477693
NAIRU[71],4.814618886031653,4.459270135846963,3.809981813185002,6.85695864131967,4.077496821895306,6.181774682356241,2015 Q2,6.017128733333333,6.346957394866681,0.921017063522811,1.1,0.4954593124683271
NAIRU[72],4.772589884544954,4.403007241026227,3.7412717746590207,6.84709762187955,4.005321864825859,6.228184842060397,2015 Q3,6.178474766666667,9.97202349434545,-0.0474247808211814,0.5,0.5749502491260827
NAIRU[73],4.772014125311204,4.37704055776158,3.7452598439184492,6.769144085237367,4.050464136001819,6.313567555248306,2015 Q4,5.834532633333334,8.430710645999362,0.16932170111643163,0.5,0.49019706002066954
NAIRU[74],4.740993069587614,4.331064582357012,3.715860523183872,6.690472400528844,4.044082992472917,6.241879001908317,2016 Q1,5.796395033333333,3.9254931018431805,0.08576164119036278,-0.1,0.4878058453432921
NAIRU[75],4.749687422616798,4.352766399856231,3.695862972570121,6.738690928251587,4.025562482295543,6.2909954547411076,2016 Q2,5.6874937,2.2037031046728828,-0.41473420799336136,0.5,0.48543784647980814
NAIRU[76],4.734790039389725,4.322783775920673,3.7414150902598173,6.731613877738853,4.007857335606362,6.216145386524098,2016 Q3,5.6576064666666666,-2.092491342424818,1.032987357647741,0.3,0.40273916699824497
NAIRU[77],4.7232140113357906,4.323977164609614,3.735848866787295,6.5962379842120775,4.014951177597186,6.156356715014638,2016 Q4,5.733405633333334,-4.082199452025481,-1.4358968261291682,-0.6,0.4811556997222688
NAIRU[78],4.720439710234725,4.33517388589007,3.698428806751036,6.556810002104281,4.002479846807349,6.174851158554862,2017 Q1,5.807673066666666,-3.3046485355948008,0.65505194109019,-0.6,0.5584378293900016
NAIRU[79],4.731873929696593,4.3322943858454845,3.7601356900592395,6.543986251453287,4.029565021914186,6.175804321373116,2017 Q2,5.593200266666667,-0.9636517848274018,0.7715482733078094,0.9,0.4761913760243708
NAIRU[80],4.711690076817446,4.37027347973683,3.7656071983908745,6.467966753247165,4.042776841334643,6.133146789183092,2017 Q3,5.532623233333333,-1.5986130846302515,0.22415972107063808,1,0.4739345363896419
NAIRU[81],4.7047608845399465,4.360753702557414,3.8024334078468063,6.469973433548712,4.026751577648476,6.008402521750137,2017 Q4,5.491421833333333,-0.44424773195608225,1.2529799446320822,0.8,0.5500996190347607
NAIRU[82],4.675112651911417,4.347026552304961,3.8149542850922393,6.342127444270801,4.065235821280364,5.938998743013832,2018 Q1,5.545387633333333,-0.5319161477600254,0.10562149374226948,0.7,0.46911735758801143
NAIRU[83],4.628587996740951,4.3512166481178465,3.7426651084869613,6.1867760900769815,4.027703153374231,5.729920496350988,2018 Q2,5.441253533333334,0.4391750580978737,0.20151971088024911,0,0.6220859875102569
NAIRU[84],4.600603123234146,4.3274249674475875,3.777197785322609,6.064704146417543,4.026536804962399,5.654093983759802,2018 Q3,5.1852937,3.5183928124475905,0.876674490265994,0.9,0.6182399908317926
