variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[71],4.314880493590326,4.327912405869213,3.8273913358590304,4.754086915498204,4.0376012184644665,4.564932943757171,2015 Q2,6.0165046,6.346957394866681,0.8903184213723048,0.4954593124683271
NAIRU[72],4.267197938862947,4.302095641887792,3.754676658345684,4.647839760895029,4.014615572889914,4.509976500615424,2015 Q3,6.178653499999999,9.97202349434545,-0.02186101200278845,0.5749502491260827
NAIRU[73],4.2467530087849426,4.260906960652502,3.804282333211325,4.624761205273812,4.004916725910422,4.489711672316735,2015 Q4,5.834287833333334,8.430710645999362,0.15668414389435892,0.49019706002066954
NAIRU[74],4.222853836057215,4.2192131681824225,3.7929820156588216,4.617957282226073,4.0039136042962324,4.454747431170949,2016 Q1,5.7950311333333335,3.9254931018431805,0.09512577534469546,0.4878058453432921
NAIRU[75],4.212734733567086,4.218302691639125,3.7516344927652723,4.607571887877358,3.957711901157219,4.448598360694732,2016 Q2,5.686769333333333,2.2037031046728828,-0.4392451012883214,0.48543784647980814
NAIRU[76],4.2084111831170565,4.216327945149146,3.7781458366202436,4.573118770001563,3.9691863359590855,4.450824417200227,2016 Q3,5.6579637,-2.092491342424818,1.0688186527689991,0.40273916699824497
NAIRU[77],4.193180920054309,4.21585780778359,3.7971632477293356,4.539922599625203,3.94729030307379,4.434081883355868,2016 Q4,5.733180566666666,-4.082199452025481,-1.4544005337547405,0.4811556997222688
NAIRU[78],4.205413422359266,4.2136816971345965,3.7866382005084924,4.61007255736618,3.9419416391587325,4.432394434794169,2017 Q1,5.806604966666667,-3.3046485355948008,0.6500714843920674,0.5584378293900016
NAIRU[79],4.217765778202237,4.222357446503147,3.8309020078543776,4.632404709838431,3.9674288023857,4.443622537170851,2017 Q2,5.5922475,-0.9636517848274018,0.7592513873919682,0.4761913760243708
NAIRU[80],4.229790855491186,4.209734281046916,3.849891815312291,4.627687080430861,3.986204335778886,4.472492912374313,2017 Q3,5.533496566666667,-1.5986130846302515,0.2683479643233566,0.4739345363896419
NAIRU[81],4.243650561915451,4.240822225701152,3.8301415130539698,4.624946462943372,4.01001168424518,4.492959058427674,2017 Q4,5.491226166666666,-0.44424773195608225,1.2272855984604703,0.5500996190347607
NAIRU[82],4.219657173528495,4.221362751826638,3.8172466060585974,4.620955437198562,3.9769691773096656,4.441510479374826,2018 Q1,5.544188533333333,-0.5319161477600254,0.08875287784754216,0.46911735758801143
NAIRU[83],4.195612080019417,4.2014213049411975,3.744253205180331,4.573337787753496,3.980471861143101,4.439146239407772,2018 Q2,5.4400249,0.4391750580978737,0.20011726356831128,0.6220859875102569
NAIRU[84],4.195388941400236,4.1867416959961465,3.793089551055001,4.5599518708720375,3.954176341387943,4.434420229126709,2018 Q3,5.187124766666667,3.5183928124475905,0.9284524526236404,0.6182399908317926
NAIRU[85],4.202427366019414,4.195417139554078,3.815205363849865,4.576615433548493,3.9820816263397343,4.453913973719222,2018 Q4,5.042588633333334,3.4999197780220648,1.057974849426635,0.5378422492758439
NAIRU[86],4.206338424242905,4.197308483464756,3.8458892744294895,4.534511320871422,4.004126405069808,4.439930947363447,2019 Q1,5.040491566666667,3.2359622773336483,0.6956969820035686,0.5349649747239837
NAIRU[87],4.206325923846407,4.215334033278854,3.834509145242195,4.538018481262219,4.01735751302188,4.446387855877376,2019 Q2,5.224456366666667,2.851165052596638,1.1345784052820163,0.6079046076382433
NAIRU[88],4.213748680699216,4.233778625280983,3.8021920465228622,4.57053792515738,3.9898096781933057,4.425796324053272,2019 Q3,5.2559107,2.3068088250274066,0.45222051779155725,0.5289018751791552
NAIRU[89],4.2333182471994615,4.2372381564218555,3.82360184707015,4.553382730307262,4.016552006887158,4.466099667579261,2019 Q4,5.1711043666666665,2.1268347403926136,0.7303883574147241,0.5261192143361626
NAIRU[90],4.267110608426587,4.270800317194652,3.8598392090731437,4.646265210654592,4.016412613568473,4.517586992288667,2020 Q1,5.181991666666667,2.4650631943442747,0.9132131603627136,0.5233656806108655
NAIRU[91],4.276758200487415,4.276801879797729,3.9285564021028794,4.639792013389072,4.043740661873308,4.501735848921547,2020 Q2,6.9044107666666665,3.843413733926049,5.106204582448958,0.2234637801416639
NAIRU[92],4.274828206505247,4.273079574694852,3.955991273062796,4.610732900685555,4.059027136815404,4.504435978268965,2020 Q3,7.056683333333333,-0.9333966790475046,-1.1860304083615936,0.07437709528446135
NAIRU[93],4.256906137349663,4.256869587216313,3.925454924355094,4.5678631359666575,4.056048933687009,4.484580042836904,2020 Q4,6.772869433333333,-2.2989518224698635,-1.5172862404003506,0.5190964566970102
NAIRU[94],4.262326875007352,4.260601636110406,3.9706865958613684,4.584497218333322,4.053485600136022,4.473745163556171,2021 Q1,5.924539233333333,-4.464260590811708,-0.11333776792425976,0.6634746048556295
NAIRU[95],4.275654121045947,4.2765733621964905,3.983724190394185,4.5949898847682,4.0936964059052015,4.469687272505605,2021 Q2,5.202228966666667,-6.782259633876109,1.0607716007235979,0.5130095531030499
NAIRU[96],4.276383154066603,4.28421007978665,3.99532909782978,4.602130048296701,4.115154098288906,4.470038120518551,2021 Q3,4.671352833333334,1.1864545956192352,2.431985955490068,0.5103911918175719
NAIRU[97],4.288713504041086,4.285693559304713,3.977628308077555,4.601330506278635,4.127667869812205,4.467626025909866,2021 Q4,4.693793966666667,5.202515398928043,-0.9888486222295434,0.6524126076943304
NAIRU[98],4.336663594692574,4.325598019455094,4.049801908768809,4.635352194994932,4.167207142674974,4.535410004090137,2022 Q1,4.052015233333334,9.299286684916463,1.0652097646853265,0.6481837602190232
NAIRU[99],4.376667372886953,4.370495730340156,4.083685082080887,4.685584255258068,4.179398586311925,4.583342607604704,2022 Q2,3.8024443999999997,8.08520966290951,1.7207279180614932,0.7865610805951384
NAIRU[100],4.435065834526659,4.436644530223685,4.148133913908721,4.7420781161211485,4.259125137792758,4.612145738960853,2022 Q3,3.5296021,8.939550265436758,2.3071761965707704,0.9922122506315745
NAIRU[101],4.457157564692782,4.450998373988297,4.189252135980069,4.781865389816153,4.2666701892512275,4.651443708618385,2022 Q4,3.4941575333333335,8.687509078839728,0.823639369410456,0.8427016161880019
NAIRU[102],4.527824259599468,4.5272456656587,4.2486584352188235,4.816599663038393,4.356006089896251,4.7121335216253835,2023 Q1,3.6123925666666667,4.382547954002902,1.391357889316236,0.9742596198819342
NAIRU[103],4.525349949605302,4.519391444794913,4.243441383264851,4.8107361721088,4.377920909841414,4.668951517784158,2023 Q2,3.608664166666667,6.271647386762602,1.1497791533547685,0.827590930385913
NAIRU[104],4.536465512757591,4.530575935739643,4.267913004991871,4.803031622217342,4.361251161752408,4.705771523917126,2023 Q3,3.657209866666667,1.3772214621226908,1.959978105464233,1.2965040017289375
NAIRU[105],4.537426772541879,4.538008198768283,4.286211852059733,4.810848921151326,4.363599290457236,4.699866854266645,2023 Q4,3.8999793,0.5979091056057761,1.7359741937385764,1.0789045990818202
NAIRU[106],4.525165477287557,4.534909854393765,4.271519702978018,4.80340646993354,4.356509361985663,4.695780341917117,2024 Q1,3.8978671333333335,1.0662705744040046,0.8192265268680887,0.7350517559340908
NAIRU[107],4.529913658209103,4.518485577288569,4.253522347359868,4.806110690419231,4.358663186855221,4.693611696213367,2024 Q2,4.048046133333333,0.9077218151117172,0.9366444996949719,0.8617885619389476
NAIRU[108],4.574825953446478,4.561021109184816,4.3225544835601415,4.847266733154584,4.420853050600648,4.744134169397908,2024 Q3,4.1211945666666665,1.1333706509849328,1.1460702203131778,0.8544251782996781
NAIRU[109],4.598744021163396,4.597597400311025,4.351192933899904,4.840206179818037,4.417537713872367,4.756241041955417,2024 Q4,4.0070394333333335,0.4460973940624946,1.7188510227202247,0.717316411241331
NAIRU[110],4.628490995830029,4.643080859342392,4.367221175692952,4.8652692159815984,4.45311067990591,4.777474083245351,2025 Q1,4.074339033333334,3.2056416116116537,1.230419360328705,0.9055689309808379
NAIRU[111],4.651743407548228,4.641094638731997,4.402018121941958,4.913495912316045,4.475927595103923,4.832127088396648,2025 Q2,4.167190066666667,2.967576814611661,0.5644271918289867,0.8974419207333106
NAIRU[112],4.670979677810364,4.6648584399098345,4.393761078900001,4.984988099288109,4.509918348787284,4.861415724406742,2025 Q3,4.3202399,2.0818595756032288,1.364005945427682,0.7628771899621078
NAIRU[113],4.674892062870836,4.666238959702106,4.402673795562957,4.9863619999116375,4.479424058169988,4.866626708661997,2025 Q4,4.255002566666667,1.326474865848315,0.6070238367160363,0.8199352148686501
NAIRU[114],4.663746354482949,4.656316873670642,4.361425222970709,4.984678879598064,4.473324027598621,4.86187899425871,2026 Q1,4.1756231,1.326474865848315,0.6070238367160363,0.8199352148686501
NAIRU[115],4.655508501503714,4.660567512401683,4.287353172423554,5.009971089327447,4.438839706632682,4.844311656350457,2026 Q2,4.1756231,1.326474865848315,0.6070238367160363,0.8199352148686501
NAIRU[116],4.654784139591352,4.670505854368118,4.2683546861223824,5.05308504820763,4.377547196148023,4.87558530140117,2026 Q3,4.1756231,1.326474865848315,0.6070238367160363,0.8199352148686501
NAIRU[117],4.649442181865841,4.657332390012197,4.243154313392001,5.034972147722422,4.387341396797672,4.9087569221568055,2026 Q4,4.1756231,1.326474865848315,0.86176384532354,0.8659492768055326
