date,region,DLWPI,UR
2008 Q3,QLD,1.5329886311310048,3.5532749666666668
2008 Q4,QLD,1.0090902981962913,3.820038333333333
2009 Q1,QLD,0.999009307508647,4.626247833333333
2009 Q2,QLD,0.4957868360786932,5.3029394666666665
2009 Q3,QLD,0.984259914419372,5.7589543333333335
2009 Q4,QLD,0.6832627850445583,5.8077436
2010 Q1,QLD,0.871676221441664,5.5469215
2010 Q2,QLD,0.6727560213056982,5.497789466666667
2010 Q3,QLD,1.6152370171398367,5.316921566666667
2010 Q4,QLD,0.9380931833765871,5.551414
2011 Q1,QLD,0.5586606708639863,5.5418326
2011 Q2,QLD,0.6478504843203226,5.246033
2011 Q3,QLD,1.4652276786870644,5.631371866666667
2011 Q4,QLD,0.9049835519917337,5.460308633333334
2012 Q1,QLD,0.628650476282111,5.570075533333333
2012 Q2,QLD,0.7136515569319712,5.390156133333333
2012 Q3,QLD,0.9730284642576414,5.986820033333333
2012 Q4,QLD,0.701757265864611,6.1087534
2013 Q1,QLD,0.6100236782139667,5.740859066666666
2013 Q2,QLD,0.4334640510440302,5.8681258666666665
2013 Q3,QLD,0.9470583054232762,5.809723333333333
2013 Q4,QLD,0.5128216366919958,5.9124903
2014 Q1,QLD,0.6796967543886367,6.0997892333333334
2014 Q2,QLD,0.42247633603089696,6.2027643
2014 Q3,QLD,0.8396354952906471,6.515190266666667
2014 Q4,QLD,0.5835781464101686,6.781180833333333
2015 Q1,QLD,0.4147662520081141,6.5454281666666665
2015 Q2,QLD,0.24803650583322678,6.2111507999999995
2015 Q3,QLD,0.7404394174209905,6.296668166666667
2015 Q4,QLD,0.49059787688543466,6.0010473
2016 Q1,QLD,0.40700096882968495,6.0421448
2016 Q2,QLD,0.24340782808796035,6.3241343
2016 Q3,QLD,0.7266887045378034,6.119124633333334
2016 Q4,QLD,0.5615738785635926,5.9404903
2017 Q1,QLD,0.31948908965189204,6.308639633333334
2017 Q2,QLD,0.31847160675200215,6.0284489
2017 Q3,QLD,0.9493742192250743,5.78892
2017 Q4,QLD,0.5496676579902271,5.748493133333334
2018 Q1,QLD,0.3127445864195444,6.1067838
2018 Q2,QLD,0.38956029008296866,6.1550820999999996
2018 Q3,QLD,1.005811187303518,5.9491609
2018 Q4,QLD,0.5374293165776756,5.947944633333333
2019 Q1,QLD,0.3821173927323507,5.8320589
