variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[54],4.834178203494508,4.483556716296733,5.172445880893595,4.616106630462124,5.04866174733103,2011 Q1,4.9673792,-4.185525773661247,2.1497071746743757,0.9337135995940216
NAIRU[55],4.8079389175506115,4.460925571195284,5.143472498347061,4.588654849513539,5.020774860881595,2011 Q2,4.9630677,-5.84962066816086,0.5596068732727666,0.740744127786197
NAIRU[56],4.775144889564141,4.42529553197255,5.106796570331079,4.5533419367057855,4.983872246575753,2011 Q3,5.194879766666666,-5.760499194271507,0.2992070308342809,0.8268306176947071
NAIRU[57],4.745705114670297,4.395660718614863,5.081831145513105,4.519840168470658,4.959152504000881,2011 Q4,5.205116,0,-0.07489258334092419,1.001373866050237
NAIRU[58],4.710179125546567,4.349516788862765,5.049991513146187,4.482359402680695,4.923661961067412,2012 Q1,5.1413123,-2.2111453607431386,1.275309283565229,0.9914457057178083
NAIRU[59],4.670207969521742,4.308455246179724,5.01126623765351,4.443871778872618,4.887161755183733,2012 Q2,5.119095066666667,1.197619104671599,0.044800077004536476,0.892863074430128
NAIRU[60],4.652188202517056,4.28163418393723,4.996280002392865,4.422727244199109,4.871427877986407,2012 Q3,5.275867166666667,0,-0.8211622822516196,0.7968169649177348
NAIRU[61],4.642713962049819,4.267553269153362,4.989465541122622,4.409494249952251,4.863413134825319,2012 Q4,5.366378533333333,-1.996074256253788,0.9216969454665547,0.7029905928257918
NAIRU[62],4.633526342713682,4.253209701687132,4.993290228422501,4.39715109289543,4.86264719433238,2013 Q1,5.4757147,0.708863727773501,-0.02664740789100062,0.6980831141340182
NAIRU[63],4.622998927658629,4.234394435382182,4.985952514420431,4.383585772635779,4.855598309368016,2013 Q2,5.631051,-0.5970166986504211,0.55655518565222994,0.6068505836380744
NAIRU[64],4.609633120234944,4.211583189755501,4.980119120135934,4.362823461153126,4.845439666907301,2013 Q3,5.728568366666667,5.475463371835865,-0.1308566053148219,0.6031901097706793
NAIRU[65],4.582369470865226,4.1789161454955766,4.960421741716033,4.330460037541609,4.82718348591107,2013 Q4,5.8398981333333335,4.629088381435409,0.5574913616597565,0.6849341845574841
NAIRU[66],4.559829153212317,4.141904150934065,4.94137009609523,4.298297135674874,4.805455398145702,2014 Q1,5.898870633333334,7.669939312596341,-0.05769448617688466,0.7649846060403753
NAIRU[67],4.528024503802085,4.1094325895051105,4.914876393223691,4.265003349325097,4.777054564377149,2014 Q2,5.9273562,4.964523048916547,0.3376403548537965,0.5067578412305984
NAIRU[68],4.48464674488079,4.0619030482948215,4.870024443530672,4.221395784605476,4.7327537804421995,2014 Q3,6.1702621,-0.19047624806542984,0.3421873679798404,0.5879899342879469
NAIRU[69],4.43786526611896,4.014019126864901,4.8258154164437315,4.173390207588002,4.6855824715764305,2014 Q4,6.2530794,3.8702329019038473,0.08517968061315662,0.5845528127435884
NAIRU[70],4.391788506862257,3.969012615561172,4.778255720541102,4.126256510973489,4.645468393648014,2015 Q1,6.203302166666667,4.923510299768541,-0.5830675522303652,0.581155641477693
NAIRU[71],4.350872112782015,3.920194154059323,4.735430346914228,4.084325781449959,4.597648130229099,2015 Q2,6.0167187,6.346957394866681,0.8788322722279029,0.4954593124683271
NAIRU[72],4.3053926427337466,3.883637520137787,4.690876656258542,4.041525604339409,4.55191315857793,2015 Q3,6.179565333333334,9.97202349434545,-0.03321823962387782,0.5749502491260827
NAIRU[73],4.274129377332651,3.8549605120463806,4.653071324574999,4.0117542146541645,4.519095194602255,2015 Q4,5.8343175,8.430710645999362,0.16669726034854726,0.49019706002066954
NAIRU[74],4.245294299887136,3.8332612679873845,4.621113503341982,3.991929724863157,4.48850114650585,2016 Q1,5.796893633333333,3.9254931018431805,0.11526018867281662,0.4878058453432921
NAIRU[75],4.2408293990158334,3.831797766000593,4.61278586894147,3.9883734476026094,4.479605106011692,2016 Q2,5.6870614999999995,2.2037031046728828,-0.44856361506638853,0.48543784647980814
NAIRU[76],4.2340459655494715,3.8296384132970855,4.603604229219745,3.984595596632701,4.472543858668036,2016 Q3,5.658726533333334,-2.092491342424818,1.0401519345789367,0.40273916699824497
NAIRU[77],4.231124458098144,3.8337931043260207,4.59338180558725,3.9819224556862602,4.463797096291068,2016 Q4,5.7332262,-4.082199452025481,-1.4132572652134634,0.4811556997222688
NAIRU[78],4.239602295227916,3.8442302154954953,4.6052831136908035,3.993524028635713,4.4728396908009005,2017 Q1,5.8083196,-3.3046485355948008,0.6881078045364197,0.5584378293900016
NAIRU[79],4.247865831004603,3.850970593257574,4.60705791931302,4.001665990597231,4.48087706907754,2017 Q2,5.5925758000000005,-0.9636517848274018,0.7077265478092398,0.4761913760243708
NAIRU[80],4.246416378651797,3.8505340695216717,4.604834616185842,4.001939946731338,4.475605745982928,2017 Q3,5.5341101,-1.5986130846302515,0.3377206918603992,0.4739345363896419
NAIRU[81],4.2551772116009285,3.870619688492321,4.611000072194254,4.015135391093158,4.4823644246728644,2017 Q4,5.491339666666667,-0.44424773195608225,1.1903354612601835,0.5500996190347607
NAIRU[82],4.2440207901305245,3.863719694764108,4.597511172521224,4.004879398806347,4.469986497784848,2018 Q1,5.5460239,-0.5319161477600254,0.09510774240596431,0.46911735758801143
NAIRU[83],4.231030558536405,3.857160554123518,4.579324548055974,3.9948518634520256,4.4535558787321925,2018 Q2,5.4403123,0.4391750580978737,0.24682261989722454,0.6220859875102569
NAIRU[84],4.224123940608825,3.8543189655660575,4.566589758291636,3.9939341902728533,4.444809860758951,2018 Q3,5.1876283,3.5183928124475905,0.9602217379862887,0.6182399908317926
NAIRU[85],4.220642575249281,3.8465250316178103,4.558014712245249,3.9902457656930337,4.436882274818415,2018 Q4,5.042911233333333,3.4999197780220648,1.049322433944666,0.5378422492758439
NAIRU[86],4.215222598000422,3.8410925175772235,4.549395344567604,3.982833959466364,4.431865776900513,2019 Q1,5.042161233333333,3.2359622773336483,0.7292661494634811,0.5349649747239837
NAIRU[87],4.215247749674327,3.840030689620253,4.55738832472038,3.985598052362166,4.434588458935802,2019 Q2,5.224567733333333,2.851165052596638,1.2127864021047152,0.6079046076382433
NAIRU[88],4.221601547558791,3.8502490739899566,4.565938162146766,3.990518520341692,4.4416874768734065,2019 Q3,5.256432566666667,2.3068088250274066,0.41604346748018717,0.5289018751791552
NAIRU[89],4.239087698201752,3.868035423370833,4.586616051523551,4.007828323338185,4.461668040543007,2019 Q4,5.1711290666666665,2.1268347403926136,0.6440798377567059,0.5261192143361626
NAIRU[90],4.26756784694987,3.8959427577465213,4.620532412865712,4.032138800918621,4.492659014768898,2020 Q1,5.1843763,2.4650631943442747,1.0083613441812744,0.5233656806108655
NAIRU[91],4.280493716457848,3.9131210645703365,4.634998155649708,4.049904821443907,4.50292243564056,2020 Q2,6.9041982,3.843413733926049,5.553966828393753,0.2234637801416639
NAIRU[92],4.281372472682985,3.913266038427558,4.637290971277082,4.05406724809872,4.503174921625526,2020 Q3,7.058256933333333,-0.9333966790475046,-1.4466764731358994,0.07437709528446135
NAIRU[93],4.2690810282201905,3.9132250055725195,4.615402760370034,4.046727886464103,4.485047935800222,2020 Q4,6.771440733333334,-2.2989518224698635,-1.4838966711971158,0.5190964566970102
NAIRU[94],4.2674298087379245,3.9188469447819947,4.603317380022626,4.051184128130059,4.478068472497836,2021 Q1,5.928383266666667,-4.464260590811708,-0.2499443454511474,0.6634746048556295
